tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,sentiment
5.70E+17,negative,1,Customer Service Issue,0.675,American,,SamuelMondo,,0, @ AmericanAir is non existent and I will take this as far as needed . Why hide behind a corporate logo ?  Provide a number  # tcf  # useless  # amateur,,2/24/2015 3:13,Manchester,London,0
5.70E+17,neutral,0.7084,,0,Delta,,ChristianJPerez,,0,・E・E @ JetBlue :  Our fleet ' s on fleek .  ・E・E lol !  !  !  !  ! ,,2/23/2015 12:36,,Central Time (US & Canada),1
5.70E+17,negative,1,Flight Booking Problems,1,Virgin America,,jordanpichler,,0," @ VirginAmerica hi !  I just bked a cool birthday trip with you, but i cannot add my elevate no .  cause i entered my middle name during Flight Booking Problems ・E・E・E｢",,2/23/2015 22:52,,Vienna,0
5.69E+17,negative,1,Lost Luggage,1,United,,getpatrick,,1, .  @ united Let us know when you find everyone ' s luggage .  Thanks .   # UnitedAirlines,"[0.0, 0.0]",2/21/2015 17:08,"Montreal, Quebec CA",Eastern Time (US & Canada),0
5.70E+17,negative,1,Late Flight,0.3812,American,,drguzman,,0, @ AmericanAir flight 3056 DFW still has all passengers sitting on the plane waiting for luggage to be loaded  -  still waiting,,2/22/2015 16:48,"Springfield, Illinois",Central Time (US & Canada),0
5.70E+17,neutral,1,,,American,,TheSmartraveler,,0, @ AmericanAir When did they start to sell water  @ AdmiralsClub  ? ,"[25.79729334, -80.28082058]",2/23/2015 3:29,"Los Angeles, CA",,1
5.70E+17,neutral,1,,,American,,uneek1908,,0, @ AmericanAir well we cleared customs in AUH .  I need to get to IAH after I arrive in DFW .  Is it possible to retrieve my luggage in IAD ? ,,2/23/2015 21:18,The Great State of TEXAS,Central Time (US & Canada),1
5.68E+17,neutral,0.9633,,0,Southwest,neutral,RachFee,,0, @ southwestair  -  kind of early but any idea when dates through the first week of sept will come available ? ,,2/17/2015 8:11,"London, Ontario, Canada",Central Time (US & Canada),1
5.70E+17,neutral,1,,,Delta,,NatalieMarry,,0, @ JetBlue Promo Watch Phone  $ 33 at Amazon check ,,2/22/2015 9:32,,,1
5.70E+17,negative,1,Cancelled Flight,1,United,,CaseyWoodTV,,0," @ united Ice, which I totally understand .  But when a large number of us are facing 15 +  hours of time and overnight Cancelled Flightations it seems like",,2/23/2015 20:28,,Eastern Time (US & Canada),0
5.68E+17,positive,1,,,United,,ToddWalsh,,0, @ united well it IS John Hughes '  birthday .  But I will stick w the plane  &  hold off on trains  &  automobiles .  Gate workers are doing well . ,,2/18/2015 14:01,"ﾃ・ET: 33.449738,-112.049072",Pacific Time (US & Canada),1
5.70E+17,negative,1,Customer Service Issue,1,United,,BethStuever,,0," @ united Soooo, it is been 15 days and you have offered no response .  So I assume poor treatment by gate agents is the norm now ? ",,2/23/2015 18:59,"iPhone: 42.734546,-84.483753",Eastern Time (US & Canada),0
5.68E+17,positive,0.6444,,,Delta,,yosoyfelixx_,,0, @ JetBlue this is lovely ! ,,2/18/2015 3:14,,,1
5.69E+17,neutral,0.6667,,,Southwest,,4jlessad,,0," @ SouthwestAir my son is flying South West from NOLA - Orlando, hope to enter for him to win this contest  # DestinationDragons",,2/20/2015 17:43,"Winter Park, FL ",Atlantic Time (Canada),1
5.70E+17,neutral,1,,,Delta,,Kameo_12,,0,・E・E @ JetBlue :  Our fleet ' s on fleek .  ・E・E  @ BrandsSayingBae  # Freberg15,,2/23/2015 12:46,"Cadiz/Louisville, Kentucky",Mountain Time (US & Canada),1
5.70E+17,positive,0.678,,,Delta,,joahspearman,,0, @ JetBlue great will do once I land in JFK,,2/24/2015 3:56,Austin,Central Time (US & Canada),1
5.70E+17,negative,1,Can't Tell,0.6845,American,,JR_Fett,,0, @ AmericanAir I guess I was one of the select few that hadn ' t had many problems before this and all the sudden my whole trip got jacked,,2/24/2015 7:32,,,0
5.69E+17,positive,1,,,Virgin America,,SSal,,0, @ VirginAmerica  @ SSal thanks ! ,,2/19/2015 20:48,"Dutchess County, NY",Eastern Time (US & Canada),1
5.69E+17,negative,1,Flight Booking Problems,0.6739,United,,carolinepqrst,,0, @ united I keep getting kicked to an error message when trying to purchase a flight on  .  Have tried at least 4x . ,,2/21/2015 15:12,"Austin, TX",,0
5.69E+17,negative,1,Cancelled Flight,1,US Airways,,mbialkowski,,0, @ USAirways flight to Des Moines Cancelled Flightled .  Unacceptable to be booked on flight on Tuesday because of work commitments .  2hrs on hold,,2/22/2015 2:56,Des Moines,London,0
5.68E+17,neutral,0.6518,,,Southwest,,bsrubin,,0," @ SouthwestAir Looks like  ' On February 19, 2015, we will open our schedule for sale through October 30, 2015 '   -  know what time that will be ? ",,2/18/2015 17:47,"Boston, MA",Eastern Time (US & Canada),1
5.69E+17,negative,1,Flight Attendant Complaints,0.6667,Delta,,kaitlynrosati,,0, @ JetBlue serious attitude .  I was in the fault for running a tad behind but before she even knew my name or my flight info she ASSURED Me,,2/21/2015 9:43,CONCRETE JUNGLE,Pacific Time (US & Canada),0
5.69E+17,negative,1,Can't Tell,0.3579,US Airways,,teammccabe,,0, @ USAirways stuck on the runway for 2 hrs 10 min due to weather in PHL .  Nowhere can I find accurate info on  # 558 to BOS,,2/21/2015 20:27,Cape Cod,Eastern Time (US & Canada),0
5.70E+17,negative,1,Late Flight,0.6638,US Airways,,tjvandy,,0, @ USAirways F623 DEN : PHX impressive lack of concern by 1hr +  Late Flight flight attndt wrecking havoc on customer travel  # smugsmirk  # norush,,2/22/2015 8:24,colorado,Central Time (US & Canada),0
5.68E+17,positive,1,,,Virgin America,,dsg0110,,0," @ VirginAmerica love it, taking  @ SouthwestAir on in their backyard !  Consumers win when biz competes . ",,2/18/2015 6:47,"San Diego, CA",Pacific Time (US & Canada),1
5.70E+17,positive,1,,,United,,rdowning76,,0, @ united thanks,,2/24/2015 11:42,usa,,1
5.69E+17,neutral,0.6849,,0,United,,MayhemRevived,,1,I left my dildo on the plane is there any way for me to get it back ?   @ united,,2/20/2015 18:14,,,1
5.70E+17,negative,1,Cancelled Flight,1,American,,c_cgottlieb,,0, @ AmericanAir Now you have Cancelled Flightled my flight .  First a priority ticket bumped and now this .  You are losing customers .  People are furious . ,,2/22/2015 18:54,"Washington, DC",Atlantic Time (Canada),0
5.68E+17,negative,1,Lost Luggage,0.3366,United,,Dayrean,,0, @ united the supervisor on situation -  Stacey took all our details - no claim number given to us,,2/18/2015 15:02,,,0
5.70E+17,negative,0.7059,Customer Service Issue,0.3824,American,,TwinkleChar,,0, @ americanair Any hints to get through to and stay connected with you to rearrange weather reLate Flightd Cancelled Flights ?  Hours in now withnothing . ,,2/22/2015 18:58,Mind Tripping,Central Time (US & Canada),0
5.70E+17,positive,1,,,American,,sfty1intx,,0, @ AmericanAir  thanks hoping that by wed I can get back to DFW,,2/23/2015 7:10,,,1
5.68E+17,negative,1,Customer Service Issue,1,US Airways,,CaseyLemke,,0, @ USAirways never imagined it would be so hard to SPEND money through US Air .  Stubbornly hoping someone will come back to the phone . ,,2/19/2015 8:03,Denver,,0
5.70E+17,negative,1,Customer Service Issue,0.6341,Southwest,,LukeWyckoff,,0," @ SouthwestAir   A whole family, with a special Olympic athlete here, and you cannot even call them ?  617 - 653 - 3040",,2/22/2015 19:42,"Denver, CO",Mountain Time (US & Canada),0
5.70E+17,negative,1,Late Flight,0.6923,Delta,,krystlemark,,0, @ JetBlue we have not even gotten off the plane yet !  I cannot afford to miss my flight back to Boston !  Ugh . ,,2/23/2015 12:33,,Alaska,0
5.70E+17,negative,1,Customer Service Issue,1,American,,Kaywillsmith,,0, @ AmericanAir  .  .  .  . I am on attempt  # 6 and hour  # 10 of calling and being put on hold .   Not feeling confident that I will ever get through .  .  . ,,2/22/2015 13:09,The City of Big Shoulders,Central Time (US & Canada),0
5.70E+17,negative,1,Late Flight,1,Delta,,amberfav,,0," @ JetBlue every time I look at the flight status, 30 more minutes is added to the delay .  How about some points for trouble ?  ? ",,2/22/2015 13:01,,Central Time (US & Canada),0
5.68E+17,neutral,0.6735,,,Southwest,,BobbiStorm,,0, @ SouthwestAir go south everyone,,2/18/2015 10:41,Miami,,1
5.69E+17,negative,1,Customer Service Issue,1,United,,betorides,,0, @ united no HUMAN contact for 2 mths from  @ AmericanAir cust relations or refund dept .  If ever a problem do u have humans I can talk to ? ,,2/22/2015 6:00,,Quito,0
5.70E+17,positive,1,,,Southwest,,trselbrede,,0," @ SouthwestAir 2 / 22 - MDW 2 SAN flt 1687 attendant Melissa was awesome !  Fast, smiling, great .  After weather Cancelled Flight day b4, it was welcome",,2/23/2015 15:05,,,1
5.69E+17,negative,1,longlines,1,United,,dandadams,,0, @ united 1k use to be special .   80 people in group one .    Why not board global AND 1k together ?  ,,2/19/2015 12:37,"bettendorf, ia",Mountain Time (US & Canada),0
5.70E+17,negative,0.7128,Late Flight,0.7128,US Airways,,EmmaJLogue,,0," @ USAirways what is the deal with flight 5268 from DCA to PHL ?  We boarded on time, left the gate a few mins Late Flight and are now sat on Tarmac ? ",,2/23/2015 11:22,,Eastern Time (US & Canada),0
5.69E+17,negative,1,Late Flight,1,Southwest,,debbiejdangg,,0, @ SouthwestAir flight to San Diego is delayed per usual .  .  take me home ! ,"[0.0, 0.0]",2/20/2015 19:24,"San Francisco, CA",Arizona,0
5.68E+17,negative,1,Customer Service Issue,0.3741,Delta,,Ginzan77,,0, @ JetBlue Tried .  .  . considerable confusion .  .  . no announcement .  .  . no sign updates,,2/18/2015 16:15,Northern Virginia,Eastern Time (US & Canada),0
5.68E+17,negative,0.6673,Late Flight,0.3345,United,,giltweetsstuff,,0, @ united What if my NYC flight is delayed and I miss my connection to Sacramento from Chicago ? ,,2/17/2015 15:13,California,Pacific Time (US & Canada),0
5.69E+17,negative,1,Customer Service Issue,1,US Airways,,FalconjcJohn,,1, @ USAirways can I at least get a response ?   I tried the gate person  ( sent me the wrong way to cust srvc  )  Cust Srvc  ( when I found them ) ,,2/21/2015 18:58,,,0
5.70E+17,negative,1,Lost Luggage,1,Southwest,,WillBursch,,0, @ SouthwestAir apologies are whatever .  Please just deliver the bags like you said you would .  Feel like employees are lying to me . ,,2/22/2015 20:03,"Aurora, OH",Quito,0
5.69E+17,neutral,0.6382,,,Delta,,RogerSaintange,,0, @ JetBlue  @ hanneslohmann cool,,2/20/2015 12:53,,Pacific Time (US & Canada),1
5.70E+17,negative,0.6832,Flight Booking Problems,0.6832,United,,Kalbozey,,0, @ united we were not given the option of using our United TravelBank in a recent Flight Booking Problems !  Any help in using or recouping these funds ?  Thanks ! ,,2/24/2015 5:22,Southern California,Pacific Time (US & Canada),0
5.70E+17,negative,1,Late Flight,1,Delta,,jabeblanchard,,0, @ JetBlue  # 611 from JFK to LAS still delayed ? ,"[40.775248, -74.48253909]",2/22/2015 19:14,Right Coast,Eastern Time (US & Canada),0
5.70E+17,negative,1,Can't Tell,0.6546,United,,MCB235,,0, @ united strikes again !  Why board anyone if there is something wrong with the plane ?  Common sense . ,,2/22/2015 17:15,Home,Central Time (US & Canada),0
5.70E+17,negative,0.7039,Bad Flight,0.3587,American,,sa_craig,,0," @ AmericanAir after all, the plane didn・E・Et land in identical or worse )  conditions at GRK according to METARs . ",,2/22/2015 13:22,"College Station, TX",Central Time (US & Canada),0
5.70E+17,neutral,1,,,American,,SentieriMelinda,,0, @ AmericanAir please help us get home tomorrow !  !  !  !  ! ,,2/22/2015 12:52,,,1
5.70E+17,neutral,0.6541,,0,American,,sammy575,,0," @ AmericanAir is the new 9 : 45 time confirmed or it may get Cancelled Flightled ?  Traveling with kids, need to be certain .  Thx",,2/24/2015 11:37,New York,Eastern Time (US & Canada),1
5.68E+17,negative,1,Customer Service Issue,0.6509,Southwest,,faithfabulous,,0, @ SouthwestAir tried online and told I must call b / c of modifications to my reservation .  Been on hold for almost 2 hours . ,,2/17/2015 8:33,District of Corruption,Quito,0
5.69E+17,negative,1,Customer Service Issue,0.6376,Delta,,KTrerotola,,0, @ JetBlue just called that number and left message .  Are you at to pass along message to team too ? ,,2/20/2015 16:30,"Boston, MA",Eastern Time (US & Canada),0
5.69E+17,negative,1,Customer Service Issue,1,Southwest,,tyziniel,,0, @ SouthwestAir On hold for 45 minutes trying to rebook a Cancelled Flightled flight with a companion ticket .  Help ? ,,2/21/2015 19:24,"Chicago, IL",,0
5.70E+17,negative,1,Customer Service Issue,1,US Airways,,JayNix01,,0, @ USAirways help !  I have been on hold for almost two hours .  Trying 2 get home . ,,2/22/2015 18:44,"Washington, DC",Quito,0
5.70E+17,positive,0.6607,,,American,,DanJWillis,,0, @ AmericanAir well have all day and all the time in the world,,2/24/2015 8:15,my top secret gaming facility,Casablanca,1
5.70E+17,neutral,0.6557,,,United,,lovejodierose,,0, @ united please upload the March on - demand entertainment listing on your website !  ・E・E・E・Eｸ・E,,2/23/2015 16:32,"melbourne, australia",London,1
5.70E+17,negative,1,Customer Service Issue,1,American,,Rizzilient,,0, @ AmericanAir  -  answer the phones .   Trying to change a reservation and have not been able to get a human to pick up in two days . ,,2/23/2015 7:53,,,0
5.70E+17,negative,1,Bad Flight,0.6736,United,,747_TJ,,0, @ united   It is too bad UA has had another unforeseeable operational issue on my return flight . ,,2/23/2015 22:57,,,0
5.70E+17,negative,0.6889,Late Flight,0.6889,Virgin America,,jarrydosborne,,0, @ VirginAmerica please provide status for flight 769 .   I cant imagine it is on time as the Web indicates  dude to weather here and / or Dallas,,2/22/2015 13:47,New York,Eastern Time (US & Canada),0
5.70E+17,positive,1,,,American,,shaun_souza,,0, @ AmericanAir I have just received the ticket .  Thank you for your help,,2/23/2015 19:31,,,1
5.70E+17,neutral,1,,,American,,DJoyles,,0, @ AmericanAir Will my us air points now be combined with yours ? ,,2/23/2015 9:42,Could be Anywhere,,1
5.70E+17,negative,1,Customer Service Issue,1,American,,stevecorb9,,0, @ AmericanAir  @ EdPlotts do not bother trying to get anywhere with their customer service team either as take 2 +  months and counting to reply,,2/23/2015 10:32,Bromyard,,0
5.70E+17,neutral,1,,,American,,fritzmt,,1, @ AmericanAir message and pics sent .  .  . ,,2/22/2015 16:04,U.S.A.,Mountain Time (US & Canada),1
5.68E+17,positive,1,,,Delta,,ft_tyman,,0, @ JetBlue haha thanks Jetblue・E・E・E・E・E・Eｺ・Eｸ・E,,2/18/2015 21:22,NBMA,Eastern Time (US & Canada),1
5.70E+17,positive,1,,,American,,SusieKapnas,,0, @ AmericanAir Joanne from your San Diego staff was phenomenal !  Give that girl a raise .  She handled our  # flightnightmare better than anyone . ,"[32.9176348, -97.0163282]",2/23/2015 20:43,,Eastern Time (US & Canada),1
5.69E+17,positive,1,,,Delta,,HowDoesItSound,,0, @ JetBlue Thanks for the reminder of a few older flights I would taken and the easy access to add points to my new JB account !  Awesome service . ,,2/20/2015 11:41,"Brooklyn, NY",Pacific Time (US & Canada),1
5.70E+17,negative,1,Customer Service Issue,0.3666,American,,CathyS_1109,,0," @ AmericanAir You are clueless .  A kind rez agnt contacted USAir 4me around midnite, told them what to do .  If not that I would have missed funeral . ",,2/23/2015 21:03,,Eastern Time (US & Canada),0
5.70E+17,neutral,0.6771,,0,US Airways,,heatherjpitcher,,0, @ USAirways  &   @ AmericanAir what are your weight restrictions for carry on luggage ?  Can find measurements but not weight restrictions .  TIA,,2/23/2015 6:44,,Quito,1
5.70E+17,neutral,1,,,United,,ericdUX,,0, @ united Flight 1547 CMH to ORD just arrived at gate .  Next segment to YVR already boarding .  Will they hold it ? ,,2/22/2015 7:26,"Columbus, Ohio, USA",Eastern Time (US & Canada),1
5.68E+17,negative,1,Flight Attendant Complaints,0.6867,US Airways,,mscaitw,,0," @ USAirways the least comforting thing from your pilot after sitting on a stationary plane for 3 hours is ""I do not really know what happened""",,2/18/2015 11:15,,Eastern Time (US & Canada),0
5.69E+17,negative,0.6368,Late Flight,0.3255,United,,dschach,,0, @ united Can you transfer my bags too ? ,,2/19/2015 15:30,"San Francisco, CA",Pacific Time (US & Canada),0
5.69E+17,positive,0.6631,,,Southwest,,msizzymarie,,0, @ SouthwestAir already booked my tickets for August 20th - 30th !   Cannot wait for my vacation ! ,,2/20/2015 9:50,New Mexico,Mountain Time (US & Canada),1
5.70E+17,neutral,0.6779,,0,American,,LSNorwich,,0, @ AmericanAir and then wanted to change it to BA for Avios . ,,2/24/2015 7:40,,London,1
5.68E+17,neutral,1,,,United,,vasm21,,0, @ united PTY to PIT via IAH,,2/18/2015 15:28,Panamﾃ｡,,1
5.69E+17,negative,0.6704,Customer Service Issue,0.6704,Southwest,,Shugnussy,,0, @ SouthwestAir There is nothing I love more than being on hold for over an hour ,,2/21/2015 2:45,"Liberty Lake, WA",Pacific Time (US & Canada),0
5.70E+17,neutral,1,,,American,,miffSC,,0, @ AmericanAir More or less  -  after a night in a party hotel  -  no sleep and a 5 : 30 am rebook -  on our way back to PHL ,,2/23/2015 1:36,http://about.me/miffsc,Eastern Time (US & Canada),1
5.69E+17,negative,1,Lost Luggage,1,United,,LEAisMYidol,,1, @ united where are our luggages ?  With a group and over 20 luggages are lost,,2/20/2015 19:21,Lea Michele,,0
5.70E+17,negative,1,Late Flight,1,United,,AlyssaOMalley,,0, @ united pls stop sending texts every 15mins saying my flight is delayed another 15mins - It is been 3hrs .  I usually defend u but this is lame .  . ,,2/22/2015 13:24,"Watertown, MA",Eastern Time (US & Canada),0
5.70E+17,negative,1,Late Flight,0.6997,United,,YelpPittsburgh,,0, @ united 8 hours Late Flightr and I am siting on another plane waiting to leave .  I think a credit is in order for this terrible service ! ,,2/22/2015 15:05,"Pittsburgh, PA",Quito,0
5.70E+17,neutral,1,,,US Airways,,elias02,,0, @ USAirways do you have an email ?  ? ,,2/22/2015 18:03,,Quito,1
5.68E+17,positive,1,,,Southwest,,BuckeyePatricia,,0," @ SouthwestAir allows you to change a flight once for no fee, yay !  I will always book flights with them .   @ AmericanAir changes you  $ 200",,2/18/2015 9:45,"Austin, TX",Eastern Time (US & Canada),1
5.69E+17,negative,1,Flight Attendant Complaints,0.6509,Delta,,lopezlaymari,,2, @ JetBlue it is absurd that I have waited more than 45mins because the flight attendant assigned for my flight is Late Flight .  You dont have others ? ,,2/19/2015 17:44,Miami | Puerto Rico ,,0
5.69E+17,negative,1,Can't Tell,0.6346,Southwest,,StephenMW,,0, @ SouthwestAir not sure I can trust a statement with that many small numbers above words .  ,,2/20/2015 14:54,"San Jose, CA",Alaska,0
5.70E+17,negative,1,Cancelled Flight,1,United,,idguy,,0, @ united Why was flight 1180 EWR to MCO Cancelled Flightled for tomorrow and what do I do to rebook .  Asking for a relative . ,,2/22/2015 19:09,New Jersey,Eastern Time (US & Canada),0
5.69E+17,negative,0.6492,Flight Attendant Complaints,0.3304,United,,hadAbadWeek,,0," @ united nope .  Called, lost the seating preference I paid for, and here I still sit .  We ' ll see what happens with my flight Late Flightr . ",,2/21/2015 12:27,,,0
5.70E+17,negative,1,Late Flight,1,Delta,,hrudski,,0," @ JetBlue What is up with delays to and from Boston today ?  My sister is trying to go home, and bro - in - law trying to come to RDU .  Craziness ! ",,2/22/2015 12:20,,,0
5.68E+17,neutral,1,,,Southwest,,Karima_Hersi,,0, @ SouthwestAir lemme come to  # DestinationDragons ・E・E・Eｭ・E・E・Eｭ・E・E・Eｭ this university student could use a break from all these books . ,,2/18/2015 9:52,"Ottawa,Canada ",Central Time (US & Canada),1
5.70E+17,negative,1,Customer Service Issue,0.6398,American,,SchrierCar,,0, @ AmericanAir I want to speak to a human being !   !  !   This is not an obscene request ! ,,2/22/2015 14:19,,,0
5.70E+17,negative,1,Late Flight,0.6647,Delta,,miss_caitb,,0," @ JetBlue upset with the lack of communication we have received for our ""on time"" flight 1170 out of MCO",,2/24/2015 10:37,,Central Time (US & Canada),0
5.70E+17,negative,1,Late Flight,1,Delta,,SL_024,,0, @ JetBlue no I asked .  Either way it does not make the flight less delayed . ,,2/23/2015 5:40,,Eastern Time (US & Canada),0
5.70E+17,negative,1,Cancelled Flight,0.6333,American,,tcunningham10,,0, @ AmericanAir a friend is having flight Cancelled Flightlations out of LAX to CMH on Feb 23 .  Anyway to help her ?  800 number has been no help,"[40.46692522, -82.64567078]",2/22/2015 12:16,Central Ohio,Eastern Time (US & Canada),0
5.70E+17,negative,1,Damaged Luggage,0.3769,American,,SamuelMondo,,0," @ AmericanAir not only on both legs did I have damaged seat, u damaged an expensive case and not offered anything . Just an apology 6wks Late Flightr ! ",,2/23/2015 14:52,Manchester,London,0
5.68E+17,negative,0.66,Late Flight,0.66,United,,JackieFerrari3,,0, @ united mechanical delay occurred in Houston earlier today re :  their flight to ORD,,2/17/2015 18:31,Irvine,,0
5.70E+17,negative,0.6724,Cancelled Flight,0.3492,Delta,,joshmirm,,0," .  @ JetBlue ooookay  @ ABC that is silly of you .  guess we are ""watching"" the oscars purely on Twitter reactions tonight .   # oscars",,2/22/2015 17:31,Brooklyn,Central Time (US & Canada),0
5.69E+17,negative,1,Late Flight,0.6617,Delta,,AmazingLaisha,,0," @ JetBlue took forever for catering to get to my flight, now are very delayed .  So ticked off right now . ",,2/19/2015 17:46,・E・E・E・Eｸ・EFL/NJ/NYC,Eastern Time (US & Canada),0
5.69E+17,negative,1,Customer Service Issue,1,Delta,,rosenrj,,0," @ JetBlue I now learned that customer service at SXM works for the airport, not JetBlue .  They need a supervisor to do anything . ",,2/21/2015 14:22,,,0
5.68E+17,neutral,0.6742,,,Southwest,,scatignani,,0, @ SouthwestAir Finally got me home  # BNASnow,,2/18/2015 6:37,Nashville Tennessee,Eastern Time (US & Canada),1
5.70E+17,negative,1,Customer Service Issue,1,US Airways,,PandooYaar,,0, @ USAirways thanks for the worst customer service on the face of the earth .  I loved the 5 +  hrs on hold along w 2 Cancelled Flightled flights,,2/22/2015 13:32,Philly,Eastern Time (US & Canada),0
